stock_id,name,market
5493,三聯,otc
5498,凱崴,otc
5508,永信建,otc
5511,德昌,otc
5512,力麒,otc
5514,三豐,otc
5515,建國,sii
5516,雙喜,otc
5519,隆大,sii
5520,力泰,otc
5521,工信,sii
5522,遠雄,sii
5523,豐謙,otc
5525,順天,sii
5529,鉅陞,otc
5530,龍巖,otc
5531,鄉林,sii
5533,皇鼎,sii
5534,長虹,sii
5536,聖暉*,otc
5547,久舜,otc
5548,安倉,otc
5601,台聯櫃,otc
5603,陸海,otc
5604,中連,otc
5607,遠雄港,sii
5608,四維航,sii
5609,中菲行,otc
5701,劍湖山,otc
5703,亞都,otc
5704,老爺知,otc
5706,鳳凰,sii
5864,致和證,otc
5876,上海商銀,sii
5878,台名,otc
5880,合庫金,sii
5902,德記,otc
5903,全家,otc
5904,寶雅,otc
5905,南仁湖,otc
6005,群益證,sii
6015,宏遠證,otc
6016,康和證,otc
6020,大展證,otc
6021,美好證,otc
6023,元大期,otc
6024,群益期,sii
6026,福邦證,otc
6028,公勝保經,otc
6101,寬魚國際,otc
6103,合邦,otc
6104,創惟,otc
6108,競國,sii
6109,亞元,otc
6111,光聚晶電,otc
6112,邁達特,sii
6113,亞矽,otc
6114,久威,otc
6115,鎰勝,sii
6116,彩晶,sii
6117,迎廣,sii
6118,建達,otc
6120,達運,sii
6121,新普,otc
6122,擎邦,otc
6123,上奇,otc
6124,業強,otc
6125,廣運,otc
6126,信音,otc
6127,九豪,otc
6128,上福,sii
6129,普誠,otc
6130,上亞科技,otc
6133,金橋,sii
6134,萬旭,otc
6136,富爾特,sii
6138,茂達,otc
6139,亞翔,sii
6140,訊達,otc
6141,柏承,sii
6142,友勁,sii
6143,振曜,otc
6144,得利影,otc
6146,耕興,otc
6147,頎邦,otc
6148,驊宏資,otc
6150,撼訊,otc
6151,晉倫,otc
6152,百一,sii
6153,嘉聯益,sii
6154,順發,otc
6155,鈞寶,sii
6156,松上,otc
6158,禾昌,otc
6160,欣技,otc
6161,捷波,otc
6163,華電網,otc
6164,華興,sii
6165,浪凡,sii
6166,凌華,sii
6167,久正,otc
6168,宏齊,sii
6169,昱泉,otc
6170,統振,otc
6171,大城地產,otc
6173,信昌電,otc
6174,安碁,otc
6175,立敦,otc
6176,瑞儀,sii
6177,達麗,sii
6179,亞通,otc
6180,橘子,otc
6182,合晶,otc
6183,關貿,sii
6184,大豐電,sii
6185,幃翔,otc
6186,新潤,otc
6187,萬潤,otc
6188,廣明,otc
6189,豐藝,sii
6190,萬泰科,otc
6191,精成科,sii
6192,巨路,sii
6194,育富,otc
6195,詩肯,otc
6196,帆宣,sii
6197,佳必琪,sii
6198,瑞築,otc
6199,天品,otc
6201,亞弘電,sii
6202,盛群,sii
6203,海韻電,otc
6204,艾華,otc
6205,詮欣,sii
6206,飛捷,sii
6207,雷科,otc
6208,日揚,otc
6209,今國光,sii
6210,慶生,otc
6212,理銘,otc
6213,聯茂,sii
6214,精誠,sii
6215,和椿,sii
6216,居易,sii
6217,中探針,otc
6218,豪勉,otc
6219,富旺,otc
6220,岳豐,otc
6221,晉泰,otc
6222,立軒,otc
6223,旺矽,otc
6224,聚鼎,sii
6225,天瀚,sii
6226,光鼎,sii
6227,茂綸,otc
6228,全譜,otc
6229,研通,otc
6230,尼得科超眾,sii
6231,系微,otc
6233,旺玖,otc
6234,高僑,otc
6235,華孚,sii
6236,中湛,otc
6237,驊訊,otc
6239,力成,sii
6240,松崗,otc
6241,鑫永洋,otc
6242,立康,otc
6243,迅杰,sii
6244,茂迪,otc
6245,立端,otc
6246,臺龍,otc
6248,沛波,otc
6257,矽格,sii
6259,百徽,otc
6261,久元,otc
6263,普萊德,otc
6264,富裔,otc
6265,方土昶,otc
6266,泰詠,otc
6269,台郡,sii
6270,倍微,otc
6271,同欣電,sii
6272,驊陞,sii
6274,台燿,otc
6275,元山,otc
6276,安鈦克,otc
6277,宏正,sii
6278,台表科,sii
6279,胡連,otc
6281,全國電,sii
6282,康舒,sii
6283,淳安,sii
6284,佳邦,otc
6285,啟碁,sii
6290,良維,otc
6291,沛亨,otc
6292,迅德,otc
6294,智基,otc
